city,price,price_per_m2,area_m2,rooms,floor,neighborhood,sub_neighborhood,is_private_owner,url
Warszawa,1880000.0,16491.0,114.0,4.0,3.0,Ochota,Szczęśliwice,True,https://www.otodom.pl/pl/oferta/komfortowy-dwupoziomowy-apartament-114-24-m-ochota-bezposrednio-ID4AiGW
Warszawa,2499000.0,22718.0,110.0,5.0,0.0,Śródmieście,Powiśle,False,https://www.otodom.pl/pl/oferta/elektrownia-powisle-1-min-h3-5m-dwustronne-ID4zAKS
Warszawa,769000.0,23254.0,33.07,2.0,6.0,Praga-Południe,Gocław,False,https://www.otodom.pl/pl/oferta/widne-w-pelni-wykonczone-i-wyposazone-2-pokoje-ID4zyDG
Warszawa,945000.0,19907.0,47.47,2.0,3.0,Wilanów,Błonia Wilanowskie,True,https://www.otodom.pl/pl/oferta/2-pokoje-bezposrednio-47-47-m-garaz-i-wilanow-ul-kazachska-ID4AUI1
Warszawa,680000.0,13209.0,51.48,3.0,,Bemowo,Jelonki Południowe,False,https://www.otodom.pl/pl/oferta/3-odrebne-pokoje-loggia-400m-od-tramwaju-ID4z60T
Warszawa,925000.0,20148.0,45.91,3.0,3.0,Śródmieście,Śródmieście Północne,False,https://www.otodom.pl/pl/oferta/3-odrebne-pok-obok-pkin-podloga-klepka-z-2020-ID4yJmL
Warszawa,790000.0,13167.0,60.0,3.0,2.0,Bemowo,Jelonki Północne,False,https://www.otodom.pl/pl/oferta/mieszkanie-60-m-warszawa-ID4AUIp
Warszawa,1680000.0,23962.0,70.11,3.0,3.0,Bemowo,Jelonki Północne,True,https://www.otodom.pl/pl/oferta/stylowe-dwustronne-3-pokojowe-70-m-gotowe-do-zamieszkania-ID4AUIc
Warszawa,1200000.0,25823.0,46.47,3.0,3.0,Śródmieście,Solec,False,https://www.otodom.pl/pl/oferta/powisle-3pokoje-balkon-do-wejscia-bez-pcc-ID4ALIf
Warszawa,1050000.0,22340.0,47.0,2.0,7.0,Mokotów,Służewiec,False,https://www.otodom.pl/pl/oferta/sluzewiec-2pokoje-2komorki-2-miejsca-postojowe-ID4AJpV
Warszawa,639000.0,18484.0,34.57,1.0,4.0,Ursynów,Kabaty,False,https://www.otodom.pl/pl/oferta/duza-kawalerka-na-kabatach-z-opcja-2-pokoi-ID4AvB0
Warszawa,815000.0,16979.0,48.0,3.0,1.0,Praga-Południe,Saska Kępa,False,https://www.otodom.pl/pl/oferta/mieszkanie-gotowe-swietna-lokalizacja-parking-ID4zgsY
Warszawa,990000.0,17679.0,56.0,2.0,7.0,Śródmieście,Śródmieście Północne,False,https://www.otodom.pl/pl/oferta/dwustronne-balkon-metro-plac-bankowy-parking-ID4Adem
Warszawa,2250000.0,23911.0,94.1,4.0,4.0,Śródmieście,Muranów,False,https://www.otodom.pl/pl/oferta/rodzinne-4-pokoje-94-m-garaz-blisko-arkadii-ID4AnJM
Warszawa,1739000.0,19852.0,87.6,4.0,7.0,Bielany,Wawrzyszew,False,https://www.otodom.pl/pl/oferta/ostatnie-pietro-4-pokoje-3-balkony-garaz-ID4A4Bw
Warszawa,650000.0,19118.0,34.0,1.0,2.0,Praga-Południe,Grochów,False,https://www.otodom.pl/pl/oferta/ciche-34m2-w-kamienicy-przy-saskiej-kepie-ID4AUI5
Warszawa,620000.0,15196.0,40.8,2.0,1.0,Mokotów,Sielce,False,https://www.otodom.pl/pl/oferta/sliczne-mieszkanie-na-sielcach-ID4AUHT
Warszawa,799000.0,8412.0,94.98,3.0,1.0,,,False,https://www.otodom.pl/pl/oferta/nowoczesne-2-poziomy-antresola-garaz-x2-w-cenie-ID4AKCE
Warszawa,727000.0,13981.0,52.0,3.0,7.0,Wola,Ulrychów,False,https://www.otodom.pl/pl/oferta/mieszkanie-z-potencjalem-w-poblizu-metra-ID4txom
Warszawa,6150000.0,25625.0,240.0,,1.0,Śródmieście,Solec,False,https://www.otodom.pl/pl/oferta/apartament-klasy-premium-w-centrum-warszawy-ID4zRoj
Warszawa,1349000.0,21413.0,63.0,3.0,1.0,Mokotów,Ksawerów,False,https://www.otodom.pl/pl/oferta/przestronne-63m2-przy-ul-woronicza-extra-wykonczone-ID4ytZu
Warszawa,634000.0,21477.0,29.52,1.0,3.0,Mokotów,Sielce,True,https://www.otodom.pl/pl/oferta/funkcjonalne-30m-swiezo-po-remoncie-mokotow-ul-chelmska-ID4AUHE
Warszawa,1681000.0,19547.0,86.0,4.0,2.0,Włochy,Raków,False,https://www.otodom.pl/pl/oferta/przestronny-apartament-85-59-m-dwa-tarasy-elegancko-wykonczone-ID4yntL
Warszawa,760000.0,16450.0,46.2,2.0,3.0,Białołęka,Żerań,True,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-gotowe-do-zamieszkania-dobry-dojazd-do-centrum-ID4AxjZ
Warszawa,579000.0,22520.0,25.71,1.0,7.0,Mokotów,Ksawerów,False,https://www.otodom.pl/pl/oferta/perelka-na-mokotowie-wyjatkowo-wykonczone-widok-na-zielen-ciche-ID4ABDO
Warszawa,3348405.0,25500.0,131.31,4.0,1.0,Mokotów,Stegny,False,https://www.otodom.pl/pl/oferta/apartament-131-mkw-4-pokoje-garaz-mokotow-potoki-residence-ID4zXt3
Warszawa,750000.0,15957.0,47.0,2.0,1.0,Mokotów,Służew,False,https://www.otodom.pl/pl/oferta/mozliwe-3-pokoje-piwnica-10m2-elegancja-vintage-modern-super-oferta-ID4zeyA
Warszawa,930000.0,17799.0,52.25,2.0,2.0,Wola,Koło,True,https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-swietna-lokalizacja-metro-tramwaj-dwustronne-ID4vRwh
Warszawa,989000.0,24122.0,41.0,2.0,7.0,Ursynów,Natolin,True,https://www.otodom.pl/pl/oferta/ursynow-natolin-2-pokojowe-klimatyzacja-i-piekny-widok-na-zielen-ID4An0E
Warszawa,599000.0,16639.0,36.0,2.0,3.0,Praga-Południe,Grochów,False,https://www.otodom.pl/pl/oferta/2-pokoje-osobna-sypialnia-winda-od-parteru-zielen-i-prywatnosc-ID4AFOO
Warszawa,1575000.0,21284.0,74.0,3.0,5.0,Włochy,Stare Włochy,False,https://www.otodom.pl/pl/oferta/74-m-widok-na-centrum-naturalne-materialy-dwa-tarasy-ID4AUHs
Warszawa,1079000.0,13461.0,80.16,4.0,2.0,Białołęka,Nowodwory,False,https://www.otodom.pl/pl/oferta/komfortowe-dla-rodziny-2-garaze-komorka-boks-ID4AUHg
Warszawa,734900.0,15990.0,45.96,2.0,1.0,Praga-Południe,Grochów,False,https://www.otodom.pl/pl/oferta/jasne-2-pokoje-pierwotnie-3-pokoje-duzy-balkon-dwustronne-metro-ID4AUGR
Warszawa,2599000.0,25804.0,100.72,4.0,1.0,Wilanów,Błonia Wilanowskie,False,https://www.otodom.pl/pl/oferta/apartament-z-pelnym-wyposazeniem-i-3-sypialniami-ID4zYDL
Warszawa,4640000.0,29000.0,160.0,4.0,6.0,Wola,Mirów,False,https://www.otodom.pl/pl/oferta/wyjatkowe-z-ogrodem-zimowym-i-3-balkonami-meridian-stan-deweloperski-ID4Apie
Warszawa,1020652.0,18055.0,56.53,3.0,3.0,Włochy,Raków,False,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-56m2-balkon-bez-prowizji-ID4unFW
Warszawa,,,46.84,2.0,0.0,Mokotów,Siekierki,False,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-46m2-ogrodek-ID4ug3W
Warszawa,1898169.0,27300.0,69.53,3.0,4.0,Praga-Północ,Stara Praga,False,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-69m2-bez-prowizji-ID4AAO9
Warszawa,1710000.0,22208.0,77.0,4.0,4.0,Wola,Ulrychów,True,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-z-widokiem-na-park-powstancow-warszawy-ID4zxIy
Warszawa,640000.0,18719.0,34.19,1.0,4.0,Mokotów,Sielce,False,https://www.otodom.pl/pl/oferta/mieszkanie-na-mokotowie-garaz-ochrona-24h-ID4ADej
Warszawa,967000.0,10989.0,88.0,4.0,3.0,Białołęka,Nowodwory,False,https://www.otodom.pl/pl/oferta/3-4-pokojowe-88mkw-2-poziomowe-tramwaj-park-garaz-25-3mkw-ID4A7wq
Warszawa,798178.0,13605.0,58.67,3.0,1.0,Białołęka,Żerań,False,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-58m2-loggia-ID4umLo
Warszawa,,,46.05,2.0,6.0,Bemowo,Chrzanów,False,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-46m2-balkon-bezposrednio-ID4yEnm
Warszawa,1230000.0,16780.0,73.3,3.0,4.0,Mokotów,Czerniaków,True,https://www.otodom.pl/pl/oferta/3-pokoje-73-m-loggia-parking-czerniakowska-mokotow-ID4AUF2
Warszawa,730000.0,23308.0,31.32,2.0,6.0,Mokotów,Ksawerów,False,https://www.otodom.pl/pl/oferta/mokotow-2-pokoje-31-32-m2-garaz-obok-westfield-mokotow-ID4ANrz
Warszawa,991354.0,18200.0,54.47,3.0,0.0,Praga-Południe,Grochów,False,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-z-ogrodkiem-ul-minska-ID4AeA6
Warszawa,748731.0,15900.0,47.09,3.0,3.0,Wawer,Zerzeń,False,https://www.otodom.pl/pl/oferta/3-pok-mieszkanie-z-balkonem-w-wysokim-standardzie-ID4A7Vy
Warszawa,765352.0,15800.0,48.44,2.0,0.0,Bemowo,Chrzanów,False,https://www.otodom.pl/pl/oferta/2-pokoje-z-balkonem-na-bemowie-blisko-metro-ID4AUEU
Warszawa,479000.0,11827.0,40.5,2.0,3.0,Ursus,Skorosze,False,https://www.otodom.pl/pl/oferta/2-pokoje-do-remontu-ul-walerego-slawka-ID4AyrH
Warszawa,945000.0,21033.0,44.93,2.0,3.0,Wola,Młynów,True,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-balkonem-i-garazem-na-woli-ID4AUE4
Warszawa,599000.0,11217.0,53.4,3.0,1.0,Targówek,Bródno,False,https://www.otodom.pl/pl/oferta/3-pokoje-cicha-okolica-metro-brodno-500m-ID4AUEc
